key,value
siteName,TheSmartFares
logoUrl,
tagline,Verified codes. Real savings. Every day.
description,"Verified coupon codes, promo codes and deals from top brands. Hand-tested daily so you save on every order."
heroHeadline,Verified Coupons & Promo Codes
heroHeadlineHighlight,that actually work
heroSubtext,"We hand-test {coupons}+ codes across {stores}+ top brands so you save on every order — no dead codes, no guesswork."
searchPlaceholder,Search for a store or brand…
trust1Title,Hand-verified
trust1Body,Every code is tested by our team and dated so you know it's live.
trust2Title,One-tap savings
trust2Body,"Reveal, copy and apply your discount at checkout in seconds."
trust3Title,Updated daily
trust3Body,Expired codes are removed and fresh offers added every day.
