slug,name,logo,url,affiliateBase,category,tagline,rating,reviewCount,description,about,policies,relatedStores,updated,phone,facebook,instagram,youtube,twitter
notion,Notion,,https://notion.so,,software,"One workspace for notes, docs and projects",4.8,3120,"Notion is an all-in-one workspace for notes, wikis, tasks and databases. Use a verified Notion offer below to save on Plus and Business plans.","Notion brings your notes, docs, projects and team wiki into one connected workspace, with AI built in.
Apply a Notion offer at checkout to save on annual Plus and Business plans.",Notion offers a generous free plan and lets you upgrade or downgrade at any time.,grammarly,2026-08-05,,,,,
grammarly,Grammarly,,https://grammarly.com,,software,AI writing help across every app,4.7,5210,"Grammarly is an AI writing assistant that checks grammar, tone and clarity everywhere you type. Grab a Grammarly discount below.","Grammarly proofreads your writing for grammar, spelling, tone and clarity across email, docs and the web.
Use a Grammarly Premium offer to save on annual billing.","Grammarly has a free tier; paid plans are billed monthly, quarterly or annually and can be cancelled anytime.",notion,2026-08-05,,,,,
nordvpn,NordVPN,,https://nordvpn.com,,vpn,"Fast, secure VPN for every device",4.8,8900,"NordVPN is a fast, security-first VPN with thousands of servers worldwide. Save on multi-year plans with the deals below.","NordVPN encrypts your connection, hides your IP and unblocks content with a huge global server network.
The biggest savings are on 1–2 year plans — grab a deal below before it expires.",NordVPN includes a 30-day money-back guarantee on all plans.,expressvpn,2026-08-05,,,,,
expressvpn,ExpressVPN,,https://expressvpn.com,,vpn,"Premium VPN, blazing fast speeds",4.7,6400,ExpressVPN is a premium VPN known for speed and reliability across 90+ countries. Use a verified deal to save.,"ExpressVPN offers fast, private connections with easy apps for every platform and 24/7 support.
Annual plans carry the best value — check the current offer below.",ExpressVPN is backed by a 30-day money-back guarantee.,nordvpn,2026-08-05,,,,,
bluehost,Bluehost,,https://bluehost.com,,hosting,Beginner-friendly web hosting + free domain,4.5,4300,"Bluehost is a popular, beginner-friendly web host with 1-click WordPress and a free domain on annual plans.","Bluehost powers millions of sites with shared, WordPress and VPS hosting plus a free domain for the first year.
Lock in the lowest rate on a longer term with the deal below.",Bluehost offers a 30-day money-back guarantee on hosting plans.,hostinger,2026-08-05,,,,,
hostinger,Hostinger,,https://hostinger.com,,hosting,Low-cost hosting with fast performance,4.6,7100,"Hostinger delivers fast, affordable hosting with a free domain, SSL and an easy control panel.","Hostinger is known for budget-friendly plans without cutting corners on speed, with a simple hPanel dashboard.
Multi-year plans unlock the deepest discounts — see the current offer.",Hostinger provides a 30-day money-back guarantee.,bluehost,2026-08-05,,,,,
coursera,Coursera,,https://coursera.org,,education,Online courses from top universities,4.6,5600,"Coursera offers courses, certificates and degrees from world-class universities and companies. Save with the offers below.","Coursera partners with top universities and companies to deliver flexible online learning and recognised certificates.
Coursera Plus unlocks thousands of courses for one price — check for a discount below.",Coursera offers a 7-day free trial on many programs and financial aid on eligible courses.,udemy,2026-08-05,,,,,
udemy,Udemy,,https://udemy.com,,education,Affordable courses on almost anything,4.5,9800,"Udemy hosts tens of thousands of practical courses, frequently discounted. Grab a deal below.","Udemy offers lifetime access to practical, project-based courses across tech, business and creative skills.
Courses are heavily discounted during regular sales — use the offer below.",Udemy provides a 30-day money-back guarantee on course purchases.,coursera,2026-08-05,,,,,
asos,ASOS,,https://asos.com,,fashion,Trend-led fashion for every style,4.4,12400,ASOS is a global fashion destination with thousands of brands. Save on your order with the deals below.,"ASOS carries its own labels plus hundreds of brands in clothing, shoes and accessories, with frequent promotions.
Student and seasonal discounts appear often — check the current offer.",ASOS offers free returns within the stated window in most regions.,nike,2026-08-05,,,,,
nike,Nike,,https://nike.com,,fashion,Iconic sportswear and sneakers,4.6,15200,"Nike offers performance sportswear, sneakers and gear. Use a verified deal to save on your order.","Nike designs athletic footwear, apparel and equipment loved by athletes and everyday wearers alike.
Members get access to exclusive offers — see the current deal below.",Nike members get free shipping and extended returns on eligible orders.,asos,2026-08-05,,,,,
myprotein,Myprotein,,https://myprotein.com,,health,Sports nutrition and supplements,4.4,6800,Myprotein is a leading sports nutrition brand with frequent multi-buy deals. Save with the offers below.,"Myprotein sells protein, supplements, vitamins and activewear with regular sitewide sales.
Stacking a code with a sale often unlocks the best price — check below.",Myprotein runs frequent promotions; check product pages for current terms.,sephora,2026-08-05,,,,,
sephora,Sephora,,https://sephora.com,,health,"Beauty, skincare and fragrance",4.5,10300,"Sephora offers makeup, skincare and fragrance from top brands. Grab a beauty deal below.","Sephora carries prestige and indie beauty brands, with samples and a rewards program.
Seasonal sales and Beauty Insider offers give the best value — see the current deal.",Sephora offers free returns on most items within the stated window.,myprotein,2026-08-05,,,,,
